date,price
2024-02-26 13:00:00+10:00,-11.94531
2024-02-26 13:30:00+10:00,-22.52439
2024-02-26 14:00:00+10:00,-10.44824
2024-02-26 14:30:00+10:00,-15.0226
2024-02-26 15:00:00+10:00,-9.40213
2024-02-26 15:30:00+10:00,-7.3435
2024-02-26 16:00:00+10:00,-10.03656
2024-02-26 16:30:00+10:00,-12.3372
2024-02-26 17:00:00+10:00,-20.84593
2024-02-26 17:30:00+10:00,-189.71166
2024-02-26 18:00:00+10:00,-835.52057
2024-02-26 18:30:00+10:00,-656.51821
2024-02-26 19:00:00+10:00,-230.41563
2024-02-26 19:30:00+10:00,-39.3431
2024-02-26 20:00:00+10:00,-20.58321
2024-02-26 20:30:00+10:00,-16.57742
2024-02-26 21:00:00+10:00,-17.95465
2024-02-26 21:30:00+10:00,-27.17716
2024-02-26 22:00:00+10:00,-13.93294
2024-02-26 22:30:00+10:00,-15.57753
2024-02-26 23:00:00+10:00,-12.188
2024-02-26 23:30:00+10:00,-14.95374
2024-02-27 00:00:00+10:00,-9.32929
2024-02-27 00:30:00+10:00,-13.14748
2024-02-27 01:00:00+10:00,-11.24356
2024-02-27 01:30:00+10:00,-12.73579
2024-02-27 02:00:00+10:00,-10.29161
2024-02-27 02:30:00+10:00,-10.77931
2024-02-27 03:00:00+10:00,-11.21233
2024-02-27 03:30:00+10:00,-9.32892
2024-02-27 04:00:00+10:00,-9.33608
2024-02-27 04:30:00+10:00,-10.63798
2024-02-27 05:00:00+10:00,-10.11374
2024-02-27 05:30:00+10:00,-16.17988
2024-02-27 06:00:00+10:00,-21.93308
2024-02-27 06:30:00+10:00,-28.61784
2024-02-27 07:00:00+10:00,-13.37459
2024-02-27 07:30:00+10:00,-9.53406
2024-02-27 08:00:00+10:00,-6.76506
2024-02-27 08:30:00+10:00,-10.22628
2024-02-27 09:00:00+10:00,-7.6435
2024-02-27 09:30:00+10:00,-7.50025
2024-02-27 10:00:00+10:00,-9.32934
2024-02-27 10:30:00+10:00,-10.6582
2024-02-27 11:00:00+10:00,-7.66555
2024-02-27 11:30:00+10:00,-10.80227
2024-02-27 12:00:00+10:00,-8.76176
2024-02-27 12:30:00+10:00,-8.64924
2024-02-27 13:00:00+10:00,-7.14274
2024-02-27 13:30:00+10:00,-6.07481
2024-02-27 14:00:00+10:00,-7.10745
2024-02-27 14:30:00+10:00,-7.17706
2024-02-27 15:00:00+10:00,-7.24992
2024-02-27 15:30:00+10:00,-6.93817
2024-02-27 16:00:00+10:00,-6.87311
2024-02-27 16:30:00+10:00,-6.99034
2024-02-27 17:00:00+10:00,-10.44416
2024-02-27 17:30:00+10:00,-14.41436
2024-02-27 18:00:00+10:00,-38.83008
2024-02-27 18:30:00+10:00,-39.9224
2024-02-27 19:00:00+10:00,-39.92243
2024-02-27 19:30:00+10:00,-31.54454
2024-02-27 20:00:00+10:00,-17.52924
2024-02-27 20:30:00+10:00,-14.24559
2024-02-27 21:00:00+10:00,-11.83548
2024-02-27 21:30:00+10:00,-11.74319
2024-02-27 22:00:00+10:00,-10.41998
2024-02-27 22:30:00+10:00,-10.3823
2024-02-27 23:00:00+10:00,-6.77439
2024-02-27 23:30:00+10:00,-6.8698
2024-02-28 00:00:00+10:00,-6.58844
