x,y
0,0.1744444444
1,0.1757
2,0.1757777778
3,0.176
4,0.1739
5,0.1743333333
6,0.17475
7,0.1758
8,0.1754444444
9,0.1747777778
10,0.1757777778
11,0.175125
12,0.1754444444
13,0.175
14,0.174
15,0.174
16,0.174125
17,0.173625
18,0.1751111111
19,0.1754444444
20,0.175875
21,0.1756666667
22,0.175625
23,0.175
24,0.1751428571
25,0.1751
26,0.1744285714
27,0.174875
28,0.1761
29,0.1755555556
30,0.17575
31,0.1756
32,0.1754444444
33,0.176
34,0.1757777778
35,0.1755
36,0.1755
37,0.1752
38,0.1768888889
39,0.17625
40,0.1758888889
41,0.1771
42,0.175875
43,0.1751428571
44,0.176
45,0.1755
46,0.17525
47,0.17575
48,0.1755714286
49,0.175
50,0.176
51,0.1758888889
52,0.176
53,0.1765555556
54,0.1757777778
55,0.175
56,0.174875
57,0.1747777778
58,0.1741111111
59,0.1756
60,0.175375
61,0.1736
62,0.17375
63,0.1746666667
64,0.1751111111
65,0.1751
66,0.1741428571
67,0.18630000000000002
68,0.222
69,0.236
70,0.2643333333
71,0.2886
72,0.312
73,0.3342
74,0.360875
75,0.3838888889
76,0.40588888889999997
77,0.4352
78,0.4944285714
79,0.6257777778
80,0.7077777778
81,0.7495555556000001
82,0.8071
83,0.8442222222
84,0.907
85,0.97525
86,1.0478571429
87,1.0872857143
88,1.140125
89,1.1958888889
90,1.2376666667
91,1.2828333333000002
92,1.3592222222
93,1.4036666667
94,1.4285
95,1.472
96,1.4658571429
97,1.6088888889
98,1.7013333333
99,1.7777
100,1.8444444444
101,1.875125
102,1.919
103,1.9473333333
104,1.9709
105,2.1273333333
106,2.49625
107,2.5808888889
108,2.6863333333
109,2.7851111111
110,2.8737
111,2.9771111111
112,3.036125
113,3.0705555556
114,3.132875
115,3.1702
116,3.2167777778
117,3.252
118,3.2816666667
119,3.2938888889
120,3.3251111111
121,3.3367777778
122,3.3674285713999996
123,3.3641428571
124,3.3858
125,3.3915555556
126,3.393
127,3.4232
128,3.4753333333
129,3.539
130,3.5681111111
131,3.5954444444
132,3.6077777778
133,3.6083333333
134,3.6123000000000003
135,3.6538333333
136,3.6645
137,3.6937777778
138,3.6828888889
139,3.6871111111
140,3.6749
141,3.6848571429
142,3.6953333333000002
143,3.687
144,3.6746666667
145,3.677
146,3.7036
147,3.69275
148,3.693
149,3.6858888889
150,3.6836666666999998
151,3.668
152,3.6333333333
153,3.639375
154,3.5958888889
155,3.5766666667
156,3.554
157,3.5602
158,3.538
159,3.530625
160,3.498125
161,3.4772222222
162,3.4427
163,3.4053333333
164,3.3945
165,3.3582222222
166,3.344125
167,3.3093333333
168,3.2278571429
169,3.1832222222
170,3.1675555556
171,3.1241111111
172,3.0868888889
173,3.02025
174,3.0075
175,2.9586666667
176,2.9264285714
177,2.827
178,2.7418
179,2.6454444444000003
180,2.6065555556
181,2.5619
182,2.5031428571000003
183,2.456625
184,2.4014
185,2.3257777778
186,2.2758888889
187,2.2177
188,2.14225
189,2.079625
190,2.0446666667
191,1.9689
192,1.9186666666999999
193,1.7849000000000002
194,1.6804444444
195,1.6152222222000001
196,1.5424444444
197,1.493625
198,1.4047777778
199,1.3339
200,1.2886666667
201,1.2221111111
202,1.1514444444
203,1.0717
204,1.0097142857
205,0.95
206,0.8904444443999999
207,0.8205555556
208,0.7501
209,0.696625
210,0.621125
211,0.565125
212,0.502625
213,0.4248
214,0.3675555556
215,0.31822222219999996
216,0.2693333333
217,0.247
218,0.2202222222
219,0.18966666670000001
220,0.1723
221,0.07433333330000001
222,0.0518888889
223,0.0936666667
224,0.18769999999999998
225,0.1883333333
226,0.18655555559999998
227,0.186375
228,0.18519999999999998
229,0.18414285709999997
230,0.18288888890000002
231,0.18277777779999999
232,0.18411111109999997
233,0.1716666667
234,0.1688888889
235,0.1731111111
236,0.1742857143
237,0.1724
238,0.1696666667
239,0.1683333333
240,0.1655555556
241,0.167
242,0.1691666667
243,0.1695555556
244,0.1696666667
245,0.1674444444
246,0.1693333333
247,0.1695714286
248,0.1674444444
249,0.1682222222
250,0.167375
251,0.1657777778
252,0.164625
253,0.1644444444
254,0.1644444444
255,0.1654444444
256,0.1688888889
257,0.1714444444
258,0.1725
259,0.1731111111
260,0.172375
261,0.17
262,0.1723333333
263,0.1734444444
264,0.1717142857
265,0.1717777778
266,0.17
267,0.1716666667
268,0.1728888889
269,0.1738
270,0.1731111111
271,0.1738888889
272,0.1746
273,0.1751666667
274,0.1749
275,0.175375
276,0.1752857143
277,0.1745
278,0.173875
279,0.174
280,0.1751111111
281,0.1751111111
282,0.175375
283,0.173625
284,0.1746666667
285,0.1729
286,0.1723333333
287,0.1737142857
